ï»¿ts,code,carno,msgtype,lat,lon,type,desc,gps,event_lon,event_lat,equipmenttype,message,messageDate,
"1598429515","f77db500","f77db500","v2x","31.280735","121.16939","21001","3,29","2","0","0","1","必选数据未填充","10-25 18:20",
"1598453979","721e7314","721e7314","v2x","31.280594","121.16991","21001","2,23","1","0","0","1","AID与网络层不匹配","10-25 18:20",
"1598530893","f77db500","f77db500","v2x","31.28187","121.174","21001","3,29","2","0","0","1","必选数据未填充","10-25 18:22",
"1598540990","f77db500","f77db500","v2x","31.28225","121.17527","21001","2,23","2","0","0","1","AID与网络层不匹配","10-25 18:22",
"1598570979","721e7314","721e7314","v2x","31.280594","121.16991","21001","3,29","1","0","0","1","必选数据未填充","10-25 18:22",
"1598705077","721e7314","721e7314","v2x","31.280666","121.170135","21001","3,29","1","0","0","1","必选数据未填充","10-25 18:25",
"1598938880","5e93cecf","5e93cecf","v2x","31.274479","121.18615","21001","3,33","1","0","0","1","证书链错误","10-25 18:29",
"1599048087","5e93cecf","5e93cecf","v2x","31.273987","121.19165","21001","3,29","1","0","0","1","必选数据未填充","10-25 18:30",
"1599763279","5e93cecf","5e93cecf","v2x","31.26216","121.178024","21001","3,29","1","0","0","1","必选数据未填充","10-25 18:42",
"1600171823","f77db500","f77db500","v2x","31.262135","121.17804","21001","3,29","2","0","0","1","必选数据未填充","10-25 18:49",
"1600567793","f77db500","f77db500","v2x","31.268353","121.179504","21001","3,29","2","0","0","1","必选数据未填充","10-25 18:56",
"1600637517","f77db500","f77db500","v2x","31.272429","121.17579","21001","2,16","2","0","0","1","消息时间过早","10-25 18:57",
"1600681986","4ad374ed","4ad374ed","v2x","0","0","21001","2,16","2","0","0","1","消息时间过早","10-25 18:58",
"1600772800","4ad374ed","4ad374ed","v2x","31.272585","121.167046","21001","3,29","2","0","0","1","必选数据未填充","10-25 18:59",
"1600878979","4ad374ed","4ad374ed","v2x","31.273144","121.164276","21001","4,12","2","0","0","1","消息验签失败","10-25 19:01",
"1600980976","4ad374ed","4ad374ed","v2x","31.279581","121.16507","21001","3,29","2","0","0","1","必选数据未填充","10-25 19:03",
"1600981977","7dc8c8db","7dc8c8db","v2x","31.279675","121.16505","21001","3,29","2","0","0","1","必选数据未填充","10-25 19:03",
"1601292516","603639da","603639da","v2x","31.274523","121.186005","21001","3,33","2","0","0","1","证书链错误","10-25 19:08",
"1601315977","603639da","603639da","v2x","31.274399","121.18831","21001","3,29","2","0","0","1","必选数据未填充","10-25 19:08",
"1601909373","f77db500","f77db500","v2x","31.268478","121.17953","21001","3,29","2","0","0","1","必选数据未填充","10-25 19:18",
"1601997621","f77db500","f77db500","v2x","31.272467","121.17575","21001","2,16","2","0","0","1","消息时间过早","10-25 19:19",
"1602128879","f77db500","f77db500","v2x","31.273184","121.16605","21001","3,29","2","0","0","1","必选数据未填充","10-25 19:22",
"1602187366","f77db500","f77db500","v2x","31.273273","121.16383","21001","4,12","2","0","0","1","消息验签失败","10-25 19:23",
"1602267721","f77db500","f77db500","v2x","31.273664","121.16203","21001","3,29","2","0","0","1","必选数据未填充","10-25 19:24",
"1603675062457","car_check","v2x","car_check1","3","3","31.285984","121.171448","21002","22","121.17152","31.282034","2","3","纵向加速度异常，横摆角速度异常","10-26 09:17",
"1653220224","106590","106590","v2x","31.281466","121.18005","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 09:33",
"1653221223","106590","106590","v2x","31.281466","121.18005","21001","3,29","2","0","0","1","必选数据未填充","10-26 09:33",
"1653378497","106590","106590","v2x","31.281364","121.18009","21001","3,29","2","0","0","1","必选数据未填充","10-26 09:36",
